,id,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over
1269,1400000US26163540400,"Census Tract 5404, Wayne County, Michigan",285,16,0,0,0,0,0,0,37,11,13,0,182,140,0,0,0,0,0,0,0,42,0,0,0,202,59,0,44,10,11,7,0,0,34,10,0,27
1259,1400000US26163540500,"Census Tract 5405, Wayne County, Michigan",70,67,0,39,0,20,11,13,73,5,0,0,236,28,48,0,35,0,14,5,0,101,5,0,0,266,131,34,0,33,0,27,0,0,21,20,0,0
2493,1400000US26163540600,"Census Tract 5406, Wayne County, Michigan",16,0,122,0,32,42,0,0,57,10,0,0,167,42,32,26,0,35,0,0,0,10,9,0,13,291,23,33,78,8,0,24,0,0,79,0,46,0
1434,1400000US26163540700,"Census Tract 5407, Wayne County, Michigan",71,69,32,115,0,13,0,8,45,0,0,0,327,67,61,0,78,0,12,0,0,39,70,0,0,235,57,63,0,22,49,0,0,0,33,0,11,0
1265,1400000US26163540800,"Census Tract 5408, Wayne County, Michigan",29,12,14,0,0,0,11,0,36,10,0,0,215,0,0,79,0,6,0,0,0,130,0,0,0,160,14,27,37,0,0,15,0,0,43,9,0,15
1435,1400000US26163540900,"Census Tract 5409, Wayne County, Michigan",47,0,45,78,0,0,0,0,64,11,31,43,163,42,0,27,0,0,12,19,0,46,0,0,17,363,164,0,14,25,0,95,15,0,23,12,0,15
2494,1400000US26163541000,"Census Tract 5410, Wayne County, Michigan",154,58,0,0,58,224,0,28,0,0,0,10,397,95,171,0,0,0,0,22,23,74,0,12,0,439,45,157,0,39,31,0,24,0,76,56,11,0
2629,1400000US26163541100,"Census Tract 5411, Wayne County, Michigan",69,27,0,0,56,0,15,0,0,0,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,140,9,90,18,23,0,0,0,0,0,0,0,0
2630,1400000US26163541200,"Census Tract 5412, Wayne County, Michigan",142,46,0,0,0,0,15,0,32,0,0,0,136,35,38,0,0,0,38,0,0,0,0,25,0,98,40,18,0,0,0,8,0,0,14,0,0,18
2495,1400000US26163541300,"Census Tract 5413, Wayne County, Michigan",68,84,115,31,21,13,0,0,18,0,12,0,249,60,86,35,0,18,20,0,0,4,7,19,0,246,79,30,56,0,0,16,0,0,14,8,20,23
1002,1400000US26163541400,"Census Tract 5414, Wayne County, Michigan",104,0,0,0,43,0,25,0,0,0,0,0,301,147,44,14,0,43,0,0,0,19,34,0,0,307,55,41,13,9,37,0,7,0,104,35,6,0
1862,1400000US26163541500,"Census Tract 5415, Wayne County, Michigan",63,0,25,16,0,15,29,24,68,12,0,0,211,41,0,64,14,33,0,0,11,0,0,48,0,394,66,0,52,0,13,0,0,0,85,0,166,12
1863,1400000US26163541700,"Census Tract 5417, Wayne County, Michigan",31,0,35,59,0,48,0,0,0,0,6,0,94,25,0,48,0,0,14,0,0,2,3,0,2,109,0,0,79,0,0,14,0,13,3,0,0,0
654,1400000US26163541800,"Census Tract 5418, Wayne County, Michigan",28,0,19,0,7,48,0,10,0,0,0,0,58,0,0,0,0,17,0,0,10,0,31,0,0,203,0,10,0,26,30,88,0,0,0,40,0,9
404,1400000US26163542100,"Census Tract 5421, Wayne County, Michigan",31,0,20,9,0,13,0,0,68,0,0,0,343,85,0,37,0,85,8,0,0,88,40,0,0,295,66,0,35,46,39,11,0,16,50,32,0,0
979,1400000US26163542200,"Census Tract 5422, Wayne County, Michigan",29,50,12,35,0,22,0,0,0,0,0,7,239,133,38,0,0,4,0,0,0,57,4,0,3,235,70,62,0,0,5,47,6,0,45,0,0,0
405,1400000US26163542300,"Census Tract 5423, Wayne County, Michigan",107,0,0,0,0,0,0,0,16,17,0,0,195,104,16,0,0,0,36,0,0,10,29,0,0,58,0,0,0,0,0,39,0,0,15,4,0,0
944,1400000US26163542400,"Census Tract 5424, Wayne County, Michigan",77,33,34,60,36,23,0,0,0,0,0,0,201,13,44,0,41,33,50,0,0,8,12,0,0,274,14,41,13,63,6,74,0,0,39,7,0,17
980,1400000US26163542500,"Census Tract 5425, Wayne County, Michigan",17,7,36,0,0,8,0,0,16,32,8,21,197,77,14,17,0,0,0,0,0,0,50,0,39,339,108,6,0,0,0,31,0,0,110,73,11,0
1436,1400000US26163542600,"Census Tract 5426, Wayne County, Michigan",177,103,28,46,0,55,0,98,9,25,15,0,444,149,0,28,21,0,58,0,0,133,45,10,0,434,40,59,24,0,22,177,0,0,54,45,13,0
1003,1400000US26163542700,"Census Tract 5427, Wayne County, Michigan",9,15,0,0,25,0,0,0,0,0,0,0,112,3,46,11,0,38,0,0,0,14,0,0,0,67,4,17,0,0,21,0,0,0,23,2,0,0
1004,1400000US26163542800,"Census Tract 5428, Wayne County, Michigan",0,0,0,0,0,0,10,0,48,6,13,9,284,6,17,25,13,67,0,28,0,84,6,22,16,252,34,22,27,0,34,37,0,0,30,14,17,37
974,1400000US26163542900,"Census Tract 5429, Wayne County, Michigan",12,0,0,0,0,13,0,9,50,11,0,0,160,0,0,18,0,0,6,0,7,87,0,35,7,293,10,0,6,57,14,7,0,7,54,14,49,75
1005,1400000US26163543000,"Census Tract 5430, Wayne County, Michigan",0,0,0,0,0,0,11,0,0,104,0,0,61,0,0,0,0,0,0,0,0,37,0,0,24,172,23,0,18,0,0,0,9,0,39,24,22,37
2631,1400000US26163543100,"Census Tract 5431, Wayne County, Michigan",40,16,27,0,0,0,0,0,28,0,18,19,95,27,7,6,10,0,0,8,7,30,0,0,0,222,19,54,59,0,9,6,8,7,31,29,0,0
1864,1400000US26163543200,"Census Tract 5432, Wayne County, Michigan",0,21,20,0,0,14,0,93,39,0,15,0,214,0,20,52,0,0,0,0,68,18,27,13,16,253,0,0,32,38,0,0,0,135,9,0,9,30
945,1400000US26163543400,"Census Tract 5434, Wayne County, Michigan",0,0,24,26,40,127,0,0,0,12,0,11,225,12,0,10,12,45,41,0,0,24,69,0,12,296,23,0,0,68,0,111,0,14,44,36,0,0
981,1400000US26163543500,"Census Tract 5435, Wayne County, Michigan",51,16,37,0,0,0,0,0,0,0,0,0,90,12,0,53,0,0,0,0,0,0,25,0,0,139,23,0,60,0,0,25,0,0,0,31,0,0
946,1400000US26163543600,"Census Tract 5436, Wayne County, Michigan",55,54,31,0,0,23,0,0,0,0,0,0,68,7,29,19,0,0,13,0,0,0,0,0,0,57,18,0,39,0,0,0,0,0,0,0,0,0
2632,1400000US26163543700,"Census Tract 5437, Wayne County, Michigan",242,130,0,45,15,27,0,0,7,0,0,0,324,173,65,17,36,15,18,0,0,0,0,0,0,282,58,56,62,83,0,23,0,0,0,0,0,0
982,1400000US26163543800,"Census Tract 5438, Wayne County, Michigan",0,0,13,0,0,7,0,0,6,17,0,0,115,30,0,13,0,4,29,0,0,0,28,0,11,11,5,0,0,0,0,6,0,0,0,0,0,0
2776,1400000US26163543900,"Census Tract 5439, Wayne County, Michigan",74,16,0,0,47,0,0,6,16,0,0,0,28,13,15,0,0,0,0,0,0,0,0,0,0,122,27,90,0,0,0,0,0,5,0,0,0,0
406,1400000US26163544000,"Census Tract 5440, Wayne County, Michigan",54,10,44,0,0,13,0,0,15,0,0,0,178,81,0,40,0,0,12,0,38,0,7,0,0,197,0,13,24,9,45,0,0,17,64,0,25,0
983,1400000US26163544100,"Census Tract 5441, Wayne County, Michigan",7,70,16,21,53,7,0,0,18,0,0,0,108,64,11,0,0,15,18,0,0,0,0,0,0,157,94,0,6,0,0,0,0,0,57,0,0,0
1006,1400000US26163544200,"Census Tract 5442, Wayne County, Michigan",114,0,45,37,24,0,0,0,24,17,0,0,169,53,0,0,0,51,36,0,6,0,23,0,0,157,26,15,19,0,11,17,0,0,46,23,0,0
407,1400000US26163544300,"Census Tract 5443, Wayne County, Michigan",80,0,0,36,53,0,0,0,46,0,0,0,208,102,0,0,0,87,0,0,0,19,0,0,0,178,10,0,0,68,81,0,0,0,0,0,19,0
947,1400000US26163545100,"Census Tract 5451, Wayne County, Michigan",15,0,0,0,0,7,0,0,21,0,0,0,42,24,0,0,0,0,12,0,0,6,0,0,0,49,19,4,0,0,16,0,0,0,0,10,0,0
984,1400000US26163545200,"Census Tract 5452, Wayne County, Michigan",0,63,61,33,0,21,0,0,0,0,0,0,115,44,20,27,0,0,0,24,0,0,0,0,0,200,99,0,0,0,0,0,21,0,0,80,0,0
1865,1400000US26163545300,"Census Tract 5453, Wayne County, Michigan",142,0,0,2,0,28,0,0,0,0,0,0,156,117,0,0,2,37,0,0,0,0,0,0,0,123,0,65,0,0,23,0,0,29,0,0,6,0
1866,1400000US26163545400,"Census Tract 5454, Wayne County, Michigan",110,0,0,163,0,0,0,25,9,0,0,0,172,113,9,11,18,0,12,0,0,9,0,0,0,157,49,13,0,9,35,25,0,0,10,16,0,0
408,1400000US26163545500,"Census Tract 5455, Wayne County, Michigan",217,41,69,12,0,27,4,0,0,20,0,0,363,188,0,88,0,0,0,0,13,74,0,0,0,356,168,38,31,58,11,0,18,25,7,0,0,0
1867,1400000US26163545600,"Census Tract 5456, Wayne County, Michigan",121,204,132,0,54,11,0,0,11,67,0,0,659,219,92,80,0,44,113,0,44,34,0,33,0,453,190,101,22,34,22,22,0,62,0,0,0,0
1052,1400000US26163545700,"Census Tract 5457, Wayne County, Michigan",91,54,56,0,0,11,105,0,96,0,0,0,277,147,66,9,0,9,0,16,21,3,0,6,0,464,65,39,76,8,77,18,15,0,79,0,66,21
985,1400000US26163545800,"Census Tract 5458, Wayne County, Michigan",139,74,56,193,35,0,0,0,113,30,0,0,561,156,0,46,76,42,22,0,0,154,65,0,0,548,186,13,89,65,85,0,0,0,69,41,0,0
986,1400000US26163545900,"Census Tract 5459, Wayne County, Michigan",136,34,0,87,0,19,46,46,102,0,34,0,466,87,138,0,108,0,0,29,0,104,0,0,0,483,50,252,0,9,63,0,0,52,45,0,12,0
2363,1400000US26163546000,"Census Tract 5460, Wayne County, Michigan",102,45,0,51,82,0,13,44,0,0,0,0,362,50,58,25,67,73,0,0,78,0,11,0,0,264,72,30,25,23,81,33,0,0,0,0,0,0
2633,1400000US26163546100,"Census Tract 5461, Wayne County, Michigan",32,137,75,30,54,0,0,131,35,21,41,0,367,98,46,101,20,0,4,0,61,0,0,37,0,147,0,0,124,0,0,5,0,0,0,18,0,0
987,1400000US26163546200,"Census Tract 5462, Wayne County, Michigan",221,15,34,43,0,0,0,66,63,10,0,0,468,161,0,200,38,0,0,16,0,44,9,0,0,557,160,51,271,0,0,0,14,0,53,8,0,0
1670,1400000US26163546300,"Census Tract 5463, Wayne County, Michigan",0,0,0,68,4,0,0,0,30,6,0,0,152,37,0,0,13,32,0,0,0,57,0,0,13,184,0,0,0,14,16,66,0,0,72,16,0,0
2364,1400000US26163546400,"Census Tract 5464, Wayne County, Michigan",45,17,0,0,33,15,22,0,0,11,0,0,94,21,17,0,0,0,13,0,0,16,27,0,0,197,152,16,0,0,9,7,0,0,0,13,0,0
2777,1400000US26163546500,"Census Tract 5465, Wayne County, Michigan",31,93,58,61,0,15,0,18,0,8,0,0,212,42,122,19,0,9,14,0,0,6,0,0,0,165,16,50,35,10,25,16,0,8,5,0,0,0
988,1400000US26163546600,"Census Tract 5466, Wayne County, Michigan",108,51,16,0,27,0,23,0,5,37,0,0,202,53,0,75,0,38,0,21,0,15,0,0,0,215,109,32,0,0,35,19,0,0,8,12,0,0
1868,1400000US26163546700,"Census Tract 5467, Wayne County, Michigan",0,0,97,13,0,0,21,25,0,0,0,0,317,136,30,79,23,0,0,20,0,19,0,10,0,348,89,87,97,0,15,0,0,0,0,60,0,0
418,1400000US26163546800,"Census Tract 5468, Wayne County, Michigan",263,60,18,39,27,52,0,0,0,0,0,0,416,172,87,36,0,66,25,0,12,18,0,0,0,449,90,43,0,24,85,102,0,13,55,37,0,0
1053,1400000US26163546900,"Census Tract 5469, Wayne County, Michigan",56,4,0,0,31,0,0,0,52,0,0,0,58,22,0,28,6,0,0,0,0,2,0,0,0,153,45,15,42,0,0,9,0,0,0,42,0,0
2634,1400000US26163550100,"Census Tract 5501, Wayne County, Michigan",0,0,0,15,0,0,0,0,34,18,66,131,289,0,0,0,11,0,0,10,0,19,10,29,210,325,0,0,0,0,0,0,0,0,36,27,16,246
1869,1400000US26163550200,"Census Tract 5502, Wayne County, Michigan",0,0,36,4,0,10,0,9,47,23,16,167,214,0,0,22,7,0,4,13,0,22,13,16,117,343,0,7,23,11,0,0,8,18,51,15,31,179
2778,1400000US26163550300,"Census Tract 5503, Wayne County, Michigan",0,0,0,0,0,0,0,0,0,55,0,208,223,0,0,0,0,0,0,0,0,0,21,0,202,363,0,10,26,0,0,20,0,0,0,5,11,291
989,1400000US26163550400,"Census Tract 5504, Wayne County, Michigan",0,0,0,0,0,0,0,0,10,6,23,8,99,0,0,0,0,0,0,0,0,10,15,21,53,164,0,0,0,0,5,0,13,0,24,15,21,86
2775,1400000US26163550500,"Census Tract 5505, Wayne County, Michigan",15,0,0,0,0,0,0,0,0,48,37,102,300,11,0,0,0,0,0,0,0,36,28,68,157,442,6,0,0,0,0,0,9,0,47,24,97,259
1054,1400000US26163550600,"Census Tract 5506, Wayne County, Michigan",12,0,0,0,0,0,0,0,19,6,0,103,281,5,0,0,0,0,0,0,0,17,12,13,234,294,0,0,0,0,0,0,0,0,0,6,47,241
1055,1400000US26163550700,"Census Tract 5507, Wayne County, Michigan",0,0,12,0,0,0,0,0,41,60,0,140,703,16,0,0,0,0,43,0,0,166,68,128,282,507,16,0,0,0,0,55,0,0,62,35,50,289
2635,1400000US26163550800,"Census Tract 5508, Wayne County, Michigan",0,0,0,5,0,0,0,0,6,13,8,97,111,0,0,0,0,0,0,0,0,21,0,27,63,126,10,0,0,0,0,0,0,4,20,0,6,86
419,1400000US26163550900,"Census Tract 5509, Wayne County, Michigan",0,0,0,0,0,0,0,0,8,0,0,89,202,0,0,0,0,0,0,0,0,30,0,23,149,252,0,0,0,0,0,0,0,0,23,20,12,197
2636,1400000US26163551100,"Census Tract 5511, Wayne County, Michigan",0,0,0,0,25,0,0,0,93,45,17,88,313,0,0,0,0,0,0,0,0,33,66,34,180,381,15,0,0,0,0,0,0,0,37,62,42,225
1056,1400000US26163551200,"Census Tract 5512, Wayne County, Michigan",13,0,7,0,0,155,0,0,47,30,53,26,291,0,0,14,18,22,38,10,0,28,10,86,65,458,44,0,0,35,41,76,10,0,26,14,34,178
2779,1400000US26163551300,"Census Tract 5513, Wayne County, Michigan",8,0,0,0,0,52,0,0,16,21,29,37,318,8,20,5,0,98,22,0,0,93,19,19,34,326,15,22,0,0,0,38,16,0,114,26,65,30
1870,1400000US26163551400,"Census Tract 5514, Wayne County, Michigan",20,0,9,5,18,24,0,23,120,11,0,6,358,25,10,8,91,50,20,18,22,78,11,20,5,578,93,22,13,56,68,14,35,0,147,30,92,8
1671,1400000US26163551500,"Census Tract 5515, Wayne County, Michigan",4,0,0,0,7,0,7,7,47,14,9,4,232,30,0,0,0,13,46,7,23,58,6,45,4,154,0,14,0,0,0,19,6,0,62,10,30,13
420,1400000US26163551600,"Census Tract 5516, Wayne County, Michigan",76,0,0,61,0,37,0,0,38,7,0,0,261,43,13,30,99,0,32,0,0,10,8,26,0,414,48,0,37,100,45,155,0,0,29,0,0,0
990,1400000US26163551700,"Census Tract 5517, Wayne County, Michigan",0,0,0,0,15,0,0,0,6,75,8,117,182,0,0,0,0,39,0,0,0,21,59,0,63,216,0,0,0,0,0,0,0,18,38,46,0,114
1871,1400000US26163551800,"Census Tract 5518, Wayne County, Michigan",22,0,0,20,0,0,0,0,67,50,42,88,187,10,8,0,32,0,0,0,0,41,9,14,73,268,0,8,0,58,0,0,0,5,56,17,32,92
1872,1400000US26163552000,"Census Tract 5520, Wayne County, Michigan",49,58,57,82,18,9,11,0,30,0,0,0,211,24,48,27,23,3,21,20,6,19,20,0,0,256,33,48,53,36,10,30,14,3,6,11,12,0
2780,1400000US26163552100,"Census Tract 5521, Wayne County, Michigan",146,72,27,67,77,0,0,14,76,0,0,15,452,173,60,45,31,35,4,0,0,75,0,21,8,297,57,52,24,25,0,0,0,0,139,0,0,0
2381,1400000US26163552200,"Census Tract 5522, Wayne County, Michigan",125,0,103,38,25,16,0,0,129,0,0,0,421,103,29,69,93,40,0,0,0,61,16,0,10,314,72,57,56,14,31,6,11,0,50,17,0,0
1873,1400000US26163552300,"Census Tract 5523, Wayne County, Michigan",130,64,11,7,31,0,68,0,0,0,0,0,331,192,70,7,6,13,0,20,0,7,0,0,16,382,217,94,0,10,23,0,0,0,22,0,0,16
417,1400000US26163552400,"Census Tract 5524, Wayne County, Michigan",74,63,59,28,47,0,0,0,38,0,0,0,385,81,75,88,33,34,8,7,0,59,0,0,0,321,77,48,58,32,36,26,0,0,31,0,13,0
872,1400000US26163552800,"Census Tract 5528, Wayne County, Michigan",98,97,134,27,76,16,0,0,96,28,0,0,721,232,128,82,18,52,0,0,0,130,79,0,0,507,178,84,33,0,60,0,0,7,117,17,11,0
2388,1400000US26163553000,"Census Tract 5530, Wayne County, Michigan",0,0,17,0,0,0,0,0,0,0,0,0,39,9,0,19,0,0,0,0,0,0,11,0,0,84,39,0,28,0,0,0,0,0,0,17,0,0
2211,1400000US26163553100,"Census Tract 5531, Wayne County, Michigan",108,0,0,0,34,0,0,0,0,0,0,9,183,62,22,33,0,42,0,0,0,24,0,0,0,149,8,21,83,0,14,16,0,0,0,7,0,0
647,1400000US26163553200,"Census Tract 5532, Wayne County, Michigan",13,5,0,75,0,0,0,0,0,0,0,0,50,0,34,0,16,0,0,0,0,0,0,0,0,65,0,14,0,51,0,0,0,0,0,0,0,0
2212,1400000US26163553300,"Census Tract 5533, Wayne County, Michigan",0,23,3,48,19,0,0,0,0,0,0,0,49,0,0,1,48,0,0,0,0,0,0,0,0,45,0,6,19,20,0,0,0,0,0,0,0,0
1057,1400000US26163553400,"Census Tract 5534, Wayne County, Michigan",161,116,0,52,26,0,0,0,0,0,0,0,215,103,17,50,34,0,0,0,0,0,11,0,0,237,84,76,51,15,0,0,0,0,0,11,0,0
2389,1400000US26163553600,"Census Tract 5536, Wayne County, Michigan",5,28,0,14,0,0,0,0,14,31,0,0,159,35,0,0,48,8,0,50,0,0,12,6,0,169,0,24,23,33,18,0,8,0,13,38,6,6
1743,1400000US26163553800,"Census Tract 5538, Wayne County, Michigan",40,32,0,0,0,17,0,0,19,0,0,0,98,20,19,0,0,0,32,0,0,0,27,0,0,194,6,30,7,0,20,101,0,0,30,0,0,0
1672,1400000US26163554100,"Census Tract 5541, Wayne County, Michigan",51,0,18,0,12,40,0,37,136,18,0,27,525,82,0,50,24,18,114,0,18,132,55,17,15,154,13,20,46,13,36,0,0,0,0,26,0,0
2664,1400000US26163554200,"Census Tract 5542, Wayne County, Michigan",44,51,0,22,0,0,0,0,52,0,0,0,354,31,122,0,24,9,73,0,0,51,26,0,18,176,23,0,0,0,9,41,0,0,24,0,0,79
2213,1400000US26163554300,"Census Tract 5543, Wayne County, Michigan",0,0,19,0,23,0,0,0,84,63,25,29,302,115,0,0,52,20,16,0,0,64,23,12,0,324,0,83,34,62,0,0,0,0,57,22,9,57
991,1400000US26163554400,"Census Tract 5544, Wayne County, Michigan",0,99,43,15,0,0,0,0,42,25,0,0,275,0,15,0,30,7,0,0,51,10,86,20,56,248,0,0,27,0,0,0,0,23,49,60,67,22
2637,1400000US26163554500,"Census Tract 5545, Wayne County, Michigan",110,49,0,52,10,7,0,0,160,0,0,6,265,67,45,0,34,12,45,18,0,44,0,0,0,64,8,0,0,14,12,0,17,0,5,0,8,0
992,1400000US26163554600,"Census Tract 5546, Wayne County, Michigan",12,0,92,0,0,0,0,0,47,118,6,31,267,10,0,55,0,0,0,0,0,98,39,12,53,213,0,0,20,0,0,0,0,0,27,91,29,46
1744,1400000US26163554700,"Census Tract 5547, Wayne County, Michigan",0,0,1,38,6,24,0,0,91,64,14,37,110,0,0,8,0,0,0,6,0,34,55,0,7,196,0,0,1,0,0,0,23,0,37,47,20,68
1745,1400000US26163554800,"Census Tract 5548, Wayne County, Michigan",13,0,0,0,20,0,0,38,0,60,28,0,317,44,0,0,7,26,0,0,0,184,41,15,0,171,45,0,0,0,25,0,0,10,49,0,15,27
2386,1400000US26163554900,"Census Tract 5549, Wayne County, Michigan",0,0,59,0,0,50,0,0,19,7,0,12,321,137,33,36,33,0,24,0,0,25,22,0,11,494,86,66,0,73,0,9,10,0,106,28,27,89
1874,1400000US26163555100,"Census Tract 5551, Wayne County, Michigan",0,0,78,0,0,12,10,0,72,0,0,31,152,33,0,0,0,0,12,42,20,0,5,15,25,729,60,14,108,0,36,38,59,26,100,212,50,26
993,1400000US26163555300,"Census Tract 5553, Wayne County, Michigan",16,36,11,0,18,0,0,0,46,0,11,0,286,34,0,32,0,0,0,0,24,100,24,55,17,278,0,104,35,0,0,0,0,0,30,52,12,45
1746,1400000US26163555400,"Census Tract 5554, Wayne County, Michigan",0,0,55,0,36,40,0,0,39,0,0,13,21,0,0,0,0,0,11,0,0,10,0,0,0,269,38,0,0,9,27,0,0,0,74,74,0,47
1247,1400000US26163555500,"Census Tract 5555, Wayne County, Michigan",38,0,0,25,0,0,0,12,184,0,0,9,79,0,0,23,0,0,0,0,16,0,34,6,0,144,17,0,18,0,0,0,0,0,12,76,9,12
2638,1400000US26163555600,"Census Tract 5556, Wayne County, Michigan",0,0,0,0,31,38,0,26,153,0,11,35,255,0,0,0,0,40,34,0,23,104,42,0,12,186,57,0,12,0,0,11,0,11,44,43,8,0
1673,1400000US26163556100,"Census Tract 5561, Wayne County, Michigan",12,0,13,16,55,85,0,0,52,24,38,15,202,0,0,49,0,61,0,0,0,34,25,33,0,200,0,0,50,0,24,0,0,0,55,36,35,0
2387,1400000US26163556200,"Census Tract 5562, Wayne County, Michigan",0,0,0,0,0,0,23,0,0,0,0,0,174,0,0,0,68,0,10,20,25,10,6,35,0,172,0,29,0,0,0,0,0,12,40,0,47,44
1747,1400000US26163556300,"Census Tract 5563, Wayne County, Michigan",0,0,0,0,0,35,0,30,0,49,0,20,161,0,0,0,0,0,11,0,0,17,75,9,49,98,0,0,0,0,13,0,0,7,0,49,0,29
2656,1400000US26163556400,"Census Tract 5564, Wayne County, Michigan",0,0,0,0,0,0,7,0,0,28,20,96,436,0,65,0,0,0,7,7,20,6,50,88,193,225,0,0,0,0,0,7,13,0,5,48,16,136
994,1400000US26163556500,"Census Tract 5565, Wayne County, Michigan",0,0,0,0,0,0,0,0,0,9,7,11,20,0,0,0,0,0,0,0,0,8,7,5,0,130,0,0,0,0,0,0,0,0,0,7,10,113
648,1400000US26163556600,"Census Tract 5566, Wayne County, Michigan",0,0,0,0,0,0,0,0,96,6,41,32,180,0,0,0,0,0,0,0,0,51,42,49,38,367,1,0,0,0,0,0,54,0,77,28,8,199
2390,1400000US26163556700,"Census Tract 5567, Wayne County, Michigan",0,0,0,0,0,0,0,0,24,22,17,106,174,0,0,0,0,0,10,0,0,55,23,20,66,137,11,0,20,0,0,24,0,0,25,5,11,41
995,1400000US26163556800,"Census Tract 5568, Wayne County, Michigan",0,0,6,0,6,17,0,0,13,10,20,13,121,0,0,0,0,0,4,0,0,5,24,46,42,106,6,0,0,0,5,0,0,5,10,5,35,40
1674,1400000US26163556900,"Census Tract 5569, Wayne County, Michigan",0,0,0,40,0,0,15,11,30,133,7,150,214,14,0,15,60,0,0,14,8,7,39,13,44,254,0,0,0,5,0,62,0,0,30,96,15,46
2372,1400000US26163557000,"Census Tract 5570, Wayne County, Michigan",18,10,0,13,17,9,0,0,89,40,7,27,227,16,19,0,15,0,7,0,0,86,32,22,30,277,8,9,0,13,8,18,0,14,68,36,49,54
996,1400000US26163557100,"Census Tract 5571, Wayne County, Michigan",0,0,0,0,0,0,0,0,31,49,30,39,169,7,0,0,21,0,7,0,0,42,56,18,18,96,0,0,0,0,0,0,0,0,41,15,15,25
1748,1400000US26163557200,"Census Tract 5572, Wayne County, Michigan",0,0,0,0,0,0,0,0,24,5,19,20,139,0,27,0,0,14,0,31,0,13,28,18,8,121,0,0,0,0,8,0,0,10,10,31,19,43
2371,1400000US26163557300,"Census Tract 5573, Wayne County, Michigan",0,0,0,13,0,0,0,11,0,32,0,106,186,13,0,0,0,0,0,0,0,28,34,5,106,151,5,0,0,11,5,8,0,0,18,13,19,72
1875,1400000US26163557400,"Census Tract 5574, Wayne County, Michigan",0,0,0,0,0,0,0,0,11,0,13,51,195,8,0,0,0,14,39,0,0,60,0,23,51,251,33,0,8,0,0,19,0,0,15,0,31,145
1749,1400000US26163557500,"Census Tract 5575, Wayne County, Michigan",0,0,0,0,0,0,0,0,45,65,49,77,258,0,0,0,0,0,0,0,0,23,144,24,67,242,10,0,0,0,0,14,0,0,29,67,23,99
1876,1400000US26163557600,"Census Tract 5576, Wayne County, Michigan",0,0,0,0,0,0,0,0,0,45,80,28,126,0,0,0,0,0,0,0,0,0,24,36,66,203,0,0,0,0,32,0,0,0,73,22,7,69
2391,1400000US26163557700,"Census Tract 5577, Wayne County, Michigan",0,0,0,15,0,0,0,0,9,22,24,81,150,0,0,0,28,0,10,0,0,0,71,24,17,350,0,0,0,0,0,30,0,20,22,87,90,101
1877,1400000US26163557900,"Census Tract 5579, Wayne County, Michigan",0,0,0,16,0,0,0,23,48,0,20,92,175,0,0,0,9,0,0,0,0,63,46,0,57,381,51,0,0,10,0,0,0,20,38,95,21,146
1266,1400000US26163558000,"Census Tract 5580, Wayne County, Michigan",0,0,9,0,43,0,0,0,35,47,64,64,256,0,0,0,0,23,0,0,0,78,61,25,69,300,0,8,0,0,16,0,0,0,73,49,93,61
1887,1400000US26163558100,"Census Tract 5581, Wayne County, Michigan",0,0,12,0,0,0,8,0,22,49,15,50,243,0,0,19,0,0,0,6,0,55,91,30,42,302,0,0,7,0,0,0,13,15,80,116,7,64
